date,station,rr
2015-12-16,ARG SMPK Tanah Datar,0.0
2015-12-17,ARG SMPK Tanah Datar,0.0
2015-12-18,ARG SMPK Tanah Datar,0.0
2015-12-19,ARG SMPK Tanah Datar,0.0
2015-12-20,ARG SMPK Tanah Datar,0.0
2015-12-21,ARG SMPK Tanah Datar,0.0
2015-12-22,ARG SMPK Tanah Datar,7.6000000000000005
2015-12-23,ARG SMPK Tanah Datar,0.2
2015-12-24,ARG SMPK Tanah Datar,0.0
2015-12-25,ARG SMPK Tanah Datar,0.0
2015-12-26,ARG SMPK Tanah Datar,0.0
2015-12-27,ARG SMPK Tanah Datar,0.0
2015-12-28,ARG SMPK Tanah Datar,0.0
2015-12-29,ARG SMPK Tanah Datar,68.0
2015-12-30,ARG SMPK Tanah Datar,0.6000000000000001
2015-12-31,ARG SMPK Tanah Datar,0.0
2016-01-01,ARG SMPK Tanah Datar,2.5999999999999996
2016-01-02,ARG SMPK Tanah Datar,1.0
2016-01-03,ARG SMPK Tanah Datar,0.0
2016-01-04,ARG SMPK Tanah Datar,0.0
2016-01-05,ARG SMPK Tanah Datar,0.0
2016-01-06,ARG SMPK Tanah Datar,0.0
2016-01-07,ARG SMPK Tanah Datar,35.2
2016-01-08,ARG SMPK Tanah Datar,0.0
2016-01-09,ARG SMPK Tanah Datar,0.0
2016-01-10,ARG SMPK Tanah Datar,0.0
2016-01-11,ARG SMPK Tanah Datar,0.0
2016-01-12,ARG SMPK Tanah Datar,0.0
2016-01-13,ARG SMPK Tanah Datar,0.0
2016-01-14,ARG SMPK Tanah Datar,0.0
2016-01-15,ARG SMPK Tanah Datar,0.0
2016-01-16,ARG SMPK Tanah Datar,0.0
2016-01-17,ARG SMPK Tanah Datar,0.0
2016-01-18,ARG SMPK Tanah Datar,0.0
2016-01-19,ARG SMPK Tanah Datar,0.0
2016-01-20,ARG SMPK Tanah Datar,0.0
2016-01-21,ARG SMPK Tanah Datar,0.0
2016-01-22,ARG SMPK Tanah Datar,0.0
2016-01-23,ARG SMPK Tanah Datar,0.0
2016-01-24,ARG SMPK Tanah Datar,0.0
2016-01-25,ARG SMPK Tanah Datar,0.0
2016-01-26,ARG SMPK Tanah Datar,0.0
2016-01-27,ARG SMPK Tanah Datar,0.0
2016-01-28,ARG SMPK Tanah Datar,0.0
2016-01-29,ARG SMPK Tanah Datar,0.0
2016-01-30,ARG SMPK Tanah Datar,0.0
2016-01-31,ARG SMPK Tanah Datar,0.0
2016-02-01,ARG SMPK Tanah Datar,0.0
2016-02-02,ARG SMPK Tanah Datar,0.0
2016-02-03,ARG SMPK Tanah Datar,0.0
2016-02-04,ARG SMPK Tanah Datar,0.0
2016-02-05,ARG SMPK Tanah Datar,0.0
2016-02-06,ARG SMPK Tanah Datar,0.0
2016-02-07,ARG SMPK Tanah Datar,0.0
2016-02-08,ARG SMPK Tanah Datar,0.0
2016-02-09,ARG SMPK Tanah Datar,0.0
2016-02-10,ARG SMPK Tanah Datar,0.0
2016-02-11,ARG SMPK Tanah Datar,0.0
2016-02-12,ARG SMPK Tanah Datar,0.0
2016-02-13,ARG SMPK Tanah Datar,0.0
2016-02-14,ARG SMPK Tanah Datar,0.0
2016-02-15,ARG SMPK Tanah Datar,0.0
2016-02-16,ARG SMPK Tanah Datar,0.0
2016-02-17,ARG SMPK Tanah Datar,0.0
2016-02-18,ARG SMPK Tanah Datar,0.0
2016-02-19,ARG SMPK Tanah Datar,0.0
2016-02-20,ARG SMPK Tanah Datar,0.0
2016-02-21,ARG SMPK Tanah Datar,0.0
2016-02-22,ARG SMPK Tanah Datar,0.0
2016-02-23,ARG SMPK Tanah Datar,0.0
2016-02-24,ARG SMPK Tanah Datar,0.0
2016-02-25,ARG SMPK Tanah Datar,0.0
2016-02-26,ARG SMPK Tanah Datar,0.0
2016-02-27,ARG SMPK Tanah Datar,0.0
