date,station,rr
2018-09-06,ARG Solok Selatan,0.0
2018-09-07,ARG Solok Selatan,0.0
2018-09-08,ARG Solok Selatan,0.0
2018-09-09,ARG Solok Selatan,0.0
2018-09-10,ARG Solok Selatan,0.0
2018-09-11,ARG Solok Selatan,4.0
2018-09-12,ARG Solok Selatan,0.0
2018-09-13,ARG Solok Selatan,0.0
2018-09-14,ARG Solok Selatan,14.2
2018-09-15,ARG Solok Selatan,0.0
2018-09-16,ARG Solok Selatan,2.8
2018-09-17,ARG Solok Selatan,0.0
2018-09-18,ARG Solok Selatan,0.4
2018-09-19,ARG Solok Selatan,61.0
2018-09-20,ARG Solok Selatan,2.6
2018-09-21,ARG Solok Selatan,0.2
2018-09-22,ARG Solok Selatan,0.0
2018-09-23,ARG Solok Selatan,15.6
2018-09-24,ARG Solok Selatan,26.8
2018-09-25,ARG Solok Selatan,0.0
2018-09-26,ARG Solok Selatan,1.8
2018-09-27,ARG Solok Selatan,0.0
2018-09-28,ARG Solok Selatan,0.0
2018-09-29,ARG Solok Selatan,0.0
2018-09-30,ARG Solok Selatan,0.0
2018-10-01,ARG Solok Selatan,0.0
2018-10-02,ARG Solok Selatan,0.0
2018-10-03,ARG Solok Selatan,0.0
2018-10-04,ARG Solok Selatan,0.0
2018-10-05,ARG Solok Selatan,0.0
2018-10-06,ARG Solok Selatan,0.0
2018-10-07,ARG Solok Selatan,0.0
2018-10-08,ARG Solok Selatan,0.0
2018-10-09,ARG Solok Selatan,0.0
2018-10-10,ARG Solok Selatan,0.0
2018-10-11,ARG Solok Selatan,0.0
2018-10-12,ARG Solok Selatan,0.0
2018-10-13,ARG Solok Selatan,0.0
2018-10-14,ARG Solok Selatan,0.0
2018-10-15,ARG Solok Selatan,0.0
2018-10-16,ARG Solok Selatan,0.0
2018-10-17,ARG Solok Selatan,0.0
2018-10-18,ARG Solok Selatan,0.0
2018-10-19,ARG Solok Selatan,0.0
2018-10-20,ARG Solok Selatan,0.0
2018-10-21,ARG Solok Selatan,0.0
2018-10-22,ARG Solok Selatan,0.0
2018-10-23,ARG Solok Selatan,0.0
2018-10-24,ARG Solok Selatan,0.0
2018-10-25,ARG Solok Selatan,0.0
2018-10-26,ARG Solok Selatan,0.0
2018-10-27,ARG Solok Selatan,0.0
2018-10-28,ARG Solok Selatan,0.0
2018-10-29,ARG Solok Selatan,0.0
2018-10-30,ARG Solok Selatan,0.0
2018-10-31,ARG Solok Selatan,0.0
2018-11-01,ARG Solok Selatan,0.0
2018-11-02,ARG Solok Selatan,0.0
2018-11-03,ARG Solok Selatan,0.0
2018-11-04,ARG Solok Selatan,0.0
2018-11-05,ARG Solok Selatan,0.0
2018-11-06,ARG Solok Selatan,0.0
2018-11-07,ARG Solok Selatan,0.0
2018-11-08,ARG Solok Selatan,0.0
2018-11-09,ARG Solok Selatan,0.0
2018-11-10,ARG Solok Selatan,0.0
2018-11-11,ARG Solok Selatan,0.0
2018-11-12,ARG Solok Selatan,0.0
2018-11-13,ARG Solok Selatan,0.0
2018-11-14,ARG Solok Selatan,0.0
2018-11-15,ARG Solok Selatan,0.0
2018-11-16,ARG Solok Selatan,0.0
2018-11-17,ARG Solok Selatan,0.0
2018-11-18,ARG Solok Selatan,0.0
2018-11-19,ARG Solok Selatan,0.0
2018-11-20,ARG Solok Selatan,0.0
2018-11-21,ARG Solok Selatan,0.0
2018-11-22,ARG Solok Selatan,0.0
2018-11-23,ARG Solok Selatan,0.0
2018-11-24,ARG Solok Selatan,0.0
2018-11-25,ARG Solok Selatan,0.0
2018-11-26,ARG Solok Selatan,0.0
2018-11-27,ARG Solok Selatan,0.0
2018-11-28,ARG Solok Selatan,31.0
2018-11-29,ARG Solok Selatan,3.8
2018-11-30,ARG Solok Selatan,18.4
2018-12-01,ARG Solok Selatan,34.8
2018-12-02,ARG Solok Selatan,17.0
2018-12-03,ARG Solok Selatan,1.0
2018-12-04,ARG Solok Selatan,109.2
2018-12-05,ARG Solok Selatan,30.4
2018-12-06,ARG Solok Selatan,22.4
2018-12-07,ARG Solok Selatan,43.0
2018-12-08,ARG Solok Selatan,2.4
2018-12-09,ARG Solok Selatan,63.8
2018-12-10,ARG Solok Selatan,41.6
2018-12-11,ARG Solok Selatan,11.999999999999998
2018-12-12,ARG Solok Selatan,18.0
2018-12-13,ARG Solok Selatan,29.4
2018-12-14,ARG Solok Selatan,0.2
2018-12-15,ARG Solok Selatan,2.8
2018-12-16,ARG Solok Selatan,57.199999999999996
2018-12-17,ARG Solok Selatan,0.6000000000000001
2018-12-18,ARG Solok Selatan,0.0
2018-12-19,ARG Solok Selatan,0.0
2018-12-20,ARG Solok Selatan,0.6000000000000001
2018-12-21,ARG Solok Selatan,8.6
2018-12-22,ARG Solok Selatan,24.4
2018-12-23,ARG Solok Selatan,0.4
2018-12-24,ARG Solok Selatan,6.800000000000001
2018-12-25,ARG Solok Selatan,0.0
2018-12-26,ARG Solok Selatan,0.0
2018-12-27,ARG Solok Selatan,0.0
2018-12-28,ARG Solok Selatan,0.0
2018-12-29,ARG Solok Selatan,0.0
